playlist,artist,title,level
Un seul tube,a-ha,Take On Me,EASY
Un seul tube,Lou Bega,Mambo No. 5,EASY
Un seul tube,Soft Cell,Tainted Love,EASY
Un seul tube,Toni Basil,Mickey,EASY
Un seul tube,Dexys Midnight Runners,Come On Eileen,EASY
Un seul tube,Chumbawamba,Tubthumping,EASY
Un seul tube,Eiffel 65,Blue (Da Ba Dee),EASY
Un seul tube,Wheatus,Teenage Dirtbag,EASY
Un seul tube,Las Ketchup,Aserejé,EASY
Un seul tube,Vanilla Ice,Ice Ice Baby,EASY
Un seul tube,MC Hammer,U Can't Touch This,EASY
Un seul tube,Right Said Fred,I'm Too Sexy,EASY
Un seul tube,4 Non Blondes,What's Up,EASY
Un seul tube,Spin Doctors,Two Princes,MEDIUM
Un seul tube,New Radicals,You Get What You Give,MEDIUM
Un seul tube,Semisonic,Closing Time,MEDIUM
Un seul tube,Deep Blue Something,Breakfast at Tiffany's,MEDIUM
Un seul tube,Nena,99 Luftballons,EASY
Un seul tube,Falco,Rock Me Amadeus,MEDIUM
Un seul tube,Baha Men,Who Let the Dogs Out,EASY
Un seul tube,Gotye,Somebody That I Used to Know,EASY
Un seul tube,Daniel Powter,Bad Day,EASY
Un seul tube,Natalie Imbruglia,Torn,EASY
Un seul tube,Sixpence None the Richer,Kiss Me,MEDIUM
Un seul tube,The Proclaimers,I'm Gonna Be (500 Miles),EASY
Un seul tube,Rednex,Cotton Eye Joe,EASY
Un seul tube,House of Pain,Jump Around,EASY
Un seul tube,Tones and I,Dance Monkey,EASY
Un seul tube,Lipps Inc,Funkytown,EASY
Un seul tube,Patrick Hernandez,Born to Be Alive,EASY
Un seul tube,Carl Douglas,Kung Fu Fighting,EASY
Un seul tube,Anita Ward,Ring My Bell,MEDIUM
Un seul tube,The Knack,My Sharona,MEDIUM
Un seul tube,Dee-Lite,Groove Is in the Heart,MEDIUM
Un seul tube,EMF,Unbelievable,MEDIUM
Un seul tube,Norman Greenbaum,Spirit in the Sky,MEDIUM
Un seul tube,Steam,Na Na Hey Hey Kiss Him Goodbye,MEDIUM
Un seul tube,Crazy Town,Butterfly,MEDIUM
Un seul tube,Soulja Boy,Crank That,MEDIUM
Un seul tube,OMC,How Bizarre,MEDIUM
Un seul tube,DJ Sammy,Heaven,MEDIUM
Un seul tube,Mr. Big,To Be with You,MEDIUM
Un seul tube,Marcy Playground,Sex and Candy,HARD
Un seul tube,Harvey Danger,Flagpole Sitta,HARD
Un seul tube,Fountains of Wayne,Stacy's Mom,MEDIUM
Un seul tube,The Vapors,Turning Japanese,HARD
Un seul tube,Plastic Bertrand,Ça plane pour moi,MEDIUM
Un seul tube,Men Without Hats,The Safety Dance,MEDIUM
Un seul tube,Kajagoogoo,Too Shy,MEDIUM
Un seul tube,Dead or Alive,You Spin Me Round,EASY
Un seul tube,Modern Talking,Cheri Cheri Lady,MEDIUM
Un seul tube,Opus,Live Is Life,MEDIUM
Un seul tube,Europe,The Final Countdown,EASY
Un seul tube,Survivor,Eye of the Tiger,EASY
Un seul tube,Bonnie Tyler,Total Eclipse of the Heart,EASY
Un seul tube,Berlin,Take My Breath Away,MEDIUM
Un seul tube,Tommy Tutone,867-5309 / Jenny,HARD
Un seul tube,Soft Cell,"Say Hello, Wave Goodbye",HARD
Un seul tube,Animotion,Obsession,MEDIUM
Un seul tube,Taco,Puttin' On the Ritz,HARD
Un seul tube,Nik Kershaw,Wouldn't It Be Good,HARD
Un seul tube,A Flock of Seagulls,I Ran (So Far Away),MEDIUM
Un seul tube,Re-Flex,The Politics of Dancing,HARD
Un seul tube,Murray Head,One Night in Bangkok,MEDIUM
Un seul tube,Aneka,Japanese Boy,HARD
Un seul tube,Trio,Da Da Da,MEDIUM
Un seul tube,Baltimora,Tarzan Boy,MEDIUM
Un seul tube,Lipps,Designer Music,HARD
Un seul tube,Frankie Goes to Hollywood,Relax,MEDIUM
Un seul tube,Twisted Sister,We're Not Gonna Take It,EASY
Un seul tube,Quiet Riot,Cum On Feel the Noize,MEDIUM
Un seul tube,Tag Team,Whoomp! (There It Is),MEDIUM
Un seul tube,Snow,Informer,MEDIUM
Un seul tube,Skee-Lo,I Wish,MEDIUM
Un seul tube,Coolio,Gangsta's Paradise,EASY
Un seul tube,Lou Reed,Perfect Day,MEDIUM
Un seul tube,Gnarls Barkley,Crazy,EASY
Un seul tube,Buggles,Video Killed the Radio Star,EASY
Un seul tube,Kim Carnes,Bette Davis Eyes,MEDIUM
Eurodance 90s,Haddaway,What Is Love,EASY
Eurodance 90s,Corona,The Rhythm of the Night,EASY
Eurodance 90s,La Bouche,Be My Lover,EASY
Eurodance 90s,2 Unlimited,No Limit,EASY
Eurodance 90s,Snap!,Rhythm Is a Dancer,EASY
Eurodance 90s,Snap!,The Power,EASY
Eurodance 90s,Dr. Alban,It's My Life,EASY
Eurodance 90s,Ace of Base,All That She Wants,EASY
Eurodance 90s,Ace of Base,The Sign,EASY
Eurodance 90s,Real McCoy,Another Night,EASY
Eurodance 90s,Culture Beat,Mr. Vain,EASY
Eurodance 90s,Whigfield,Saturday Night,EASY
Eurodance 90s,Technotronic,Pump Up the Jam,EASY
Eurodance 90s,Reel 2 Real,I Like to Move It,EASY
Eurodance 90s,Cappella,U Got 2 Let the Music,MEDIUM
Eurodance 90s,DJ BoBo,Somebody Dance with Me,MEDIUM
Eurodance 90s,Masterboy,Feel the Heat of the Night,MEDIUM
Eurodance 90s,Captain Hollywood Project,More and More,MEDIUM
Eurodance 90s,Twenty 4 Seven,Is It Love,MEDIUM
Eurodance 90s,Pharao,I Show You Secrets,MEDIUM
Eurodance 90s,Maxx,Get-A-Way,MEDIUM
Eurodance 90s,Fun Factory,Close to You,MEDIUM
Eurodance 90s,Magic Affair,Omen III,MEDIUM
Eurodance 90s,Scatman John,Scatman,EASY
Eurodance 90s,Scatman John,Scatman's World,MEDIUM
Eurodance 90s,Mr. President,Coco Jamboo,EASY
Eurodance 90s,La Bouche,Sweet Dreams,MEDIUM
Eurodance 90s,Real McCoy,Run Away,MEDIUM
Eurodance 90s,Corona,Try Me Out,MEDIUM
Eurodance 90s,E-Type,This Is the Way,MEDIUM
Eurodance 90s,E-Type,Set the World on Fire,MEDIUM
Eurodance 90s,Cascada,Everytime We Touch,EASY
Eurodance 90s,Sash!,Encore une fois,MEDIUM
Eurodance 90s,Sash!,Ecuador,MEDIUM
Eurodance 90s,Alice Deejay,Better Off Alone,EASY
Eurodance 90s,ATB,9 PM (Till I Come),MEDIUM
Eurodance 90s,Eiffel 65,Move Your Body,MEDIUM
Eurodance 90s,Gala,Freed from Desire,EASY
Eurodance 90s,Robert Miles,Children,MEDIUM
Eurodance 90s,Zhi-Vago,Celebrate the Love,HARD
Eurodance 90s,Antico,Mistral,HARD
Eurodance 90s,Livin' Joy,Dreamer,MEDIUM
Eurodance 90s,Black Box,Ride on Time,MEDIUM
Eurodance 90s,Cappella,Move on Baby,MEDIUM
Eurodance 90s,2 Brothers on the 4th Floor,Dreams,MEDIUM
Eurodance 90s,Activate,Save Me,HARD
Eurodance 90s,Centory,Take It to the Limit,HARD
Eurodance 90s,Dune,Hardcore Vibes,HARD
Eurodance 90s,Marusha,Somewhere Over the Rainbow,HARD
Eurodance 90s,Interactive,Forever Young,HARD
Eurodance 90s,Mark 'Oh,Tears Don't Lie,MEDIUM
Eurodance 90s,Brooklyn Bounce,Get Ready to Bounce,HARD
Eurodance 90s,Klubbheads,Discohopping,HARD
Eurodance 90s,Paradisio,Bailando,MEDIUM
Eurodance 90s,Lou Bega,I Got a Girl,HARD
Eurodance 90s,Vengaboys,We Like to Party,EASY
Eurodance 90s,Vengaboys,"Boom, Boom, Boom, Boom!!",EASY
Eurodance 90s,Vengaboys,We're Going to Ibiza,EASY
Eurodance 90s,Aqua,Barbie Girl,EASY
Eurodance 90s,Aqua,Doctor Jones,MEDIUM
Eurodance 90s,Aqua,Turn Back Time,MEDIUM
Eurodance 90s,Eiffel 65,Blue (Da Ba Dee),EASY
Eurodance 90s,Daze,Superhero,HARD
Eurodance 90s,Toy-Box,Tarzan & Jane,MEDIUM
Eurodance 90s,Bellini,Samba de Janeiro,EASY
Eurodance 90s,Lou Bega,Mambo No. 5,EASY
Eurodance 90s,Antique,Opa Opa,HARD
Eurodance 90s,Sqeezer,Blue Jeans,HARD
Eurodance 90s,DJ Quicksilver,Bellissima,MEDIUM
Eurodance 90s,Three Drives,Greece 2000,HARD
Eurodance 90s,Sylver,Turn the Tide,MEDIUM
Eurodance 90s,Ian Van Dahl,Castles in the Sky,MEDIUM
Eurodance 90s,DJ Sammy,Heaven,MEDIUM
Eurodance 90s,Cascada,What Hurts the Most,MEDIUM
Eurodance 90s,Groove Coverage,Moonlight Shadow,MEDIUM
Eurodance 90s,Special D,Come with Me,HARD
Eurodance 90s,Lasgo,Something,MEDIUM
Eurodance 90s,Milk Inc,Walk on Water,HARD
Eurodance 90s,Sash!,Adelante,MEDIUM
Eurodance 90s,Mauro Picotto,Komodo,HARD
Boys & Girls Bands,Spice Girls,Wannabe,EASY
